类别,尺度,样本数量,loss,平均
,S,0,0,0
bus,M,163,14891.18493,91.35696279
,L,2064,160044.2666,77.54082683
,S,0,0,0
dog,M,127,12643.64117,99.55622966
,L,4480,352665.8548,78.72005689
,S,519,10507.1578,20.24500539
sheep,M,1059,112811.8298,106.5267514
,L,1669,167759.4526,100.5149507
,S,2,179.5978,89.7989
aeroplane,M,454,38268.58771,84.29204341
,L,2196,131204.5799,59.74707645
,S,0,0,0
bicycle,M,286,31900.38929,111.5398227
,L,3148,280330.0649,89.05021121
,S,148,8151.693174,55.07900793
bird,M,1034,97740.57486,94.52666815
,L,3816,274550.0274,71.94707217
,S,57,2323.057069,40.75538717
boat,M,1270,132660.607,104.4571709
,L,2209,191364.2805,86.62937099
,S,504,9790.089755,19.42478126
bottle,M,2403,182951.7125,76.13471181
,L,2839,181806.6476,64.03897415
,S,427,15830.51394,37.07380314
car,M,4433,396818.1799,89.51459054
,L,9182,552897.5464,60.21537207
,S,0,0,0
cat,M,72,9692.583152,134.6192104
,L,3175,227163.4829,71.54755366
,S,46,3761.010123,81.76108963
chair,M,2582,333616.9979,129.2087521
,L,9714,977667.4168,100.6451942
,S,55,2198.143936,39.96625339
cow,M,594,66440.98972,111.8535181
,L,2496,227705.2912,91.22808143
,S,0,0,0
diningtable,M,8,1681.5932,210.19915
,L,2508,257431.5377,102.6441538
,S,0,0,0
horse,M,140,15412.27974,110.0877125
,L,3379,267722.1765,79.23118569
,S,19,1599.249664,84.17103494
motorbike,M,322,38918.59361,120.8651976
,L,2940,257771.0313,87.67722152
,S,922,26562.96792,28.81016044
person,M,9084,730570.5134,80.42387862
,L,35979,2557548.194,71.08447133
,S,72,1360.353777,18.89380246
pottedplant,M,1297,148905.8635,114.8079133
,L,3816,356389.1564,93.3933848
,S,0,0,0
sofa,M,59,9041.85573,153.251792
,L,3647,348605.5188,95.5869259
,S,0,0,0
train,M,104,9460.174768,90.96321892
,L,2582,165990.8874,64.28771782
,S,40,2214.121557,55.35303891
tvmonitor,M,488,59970.65427,122.890685
,L,2719,225865.1286,83.06919035
